village_id,village_name,household_id,surveyor_id,survey_date,school_age_children_count,enrolled_children_count,dropout_children_count,distance_to_school_km,illiterate_adults_count,total_adults_count,literate_females_count,total_females_count,highest_education_level_encoded,highest_education_level,midday_meal_access_yn,internet_access_yn,teachers_in_school,primary_school_nearby_yn,vulnerability_label
V_001,Bari,HH_V_001_000,SRV_009,2025-01-15,4,1,3,12,3,4,0,2,0,None,1,0,3,0,79
V_001,Bari,HH_V_001_001,SRV_003,2025-01-15,0,0,0,14,3,4,0,2,0,None,0,0,1,0,90
V_001,Bari,HH_V_001_002,SRV_002,2025-01-15,2,1,1,10,2,4,0,2,1,Primary,1,0,4,1,62
V_001,Bari,HH_V_001_003,SRV_003,2025-01-15,4,1,3,10,2,4,0,2,1,Primary,1,0,4,1,60
V_001,Bari,HH_V_001_004,SRV_008,2025-01-15,1,0,1,11,2,4,0,2,1,Primary,0,0,4,1,68
V_001,Bari,HH_V_001_005,SRV_004,2025-01-15,0,0,0,14,3,4,0,2,0,None,0,0,2,0,87
V_001,Bari,HH_V_001_006,SRV_003,2025-01-15,3,0,3,16,4,4,0,2,0,None,0,0,1,0,100
V_001,Bari,HH_V_001_007,SRV_005,2025-01-15,2,1,1,11,2,4,0,2,1,Primary,1,0,4,1,68
V_001,Bari,HH_V_001_008,SRV_001,2025-01-15,1,0,1,12,3,4,0,2,0,None,0,0,3,0,78
V_001,Bari,HH_V_001_009,SRV_009,2025-01-15,0,0,0,14,3,4,0,2,0,None,0,0,1,0,90
V_001,Bari,HH_V_001_010,SRV_008,2025-01-15,2,0,2,16,4,4,0,2,0,None,0,0,1,0,100
V_001,Bari,HH_V_001_011,SRV_008,2025-01-15,4,2,2,11,2,4,0,2,1,Primary,1,0,3,0,72
V_001,Bari,HH_V_001_012,SRV_009,2025-01-15,0,0,0,10,2,4,0,2,1,Primary,0,0,4,1,64
V_001,Bari,HH_V_001_013,SRV_006,2025-01-15,3,1,2,13,3,4,0,2,0,None,1,0,2,0,83
V_001,Bari,HH_V_001_014,SRV_007,2025-01-15,1,0,1,14,3,4,0,2,0,None,0,0,2,0,89
V_001,Bari,HH_V_001_015,SRV_007,2025-01-15,3,2,1,15,3,4,0,2,0,None,1,0,1,0,96
V_001,Bari,HH_V_001_016,SRV_005,2025-01-15,3,1,2,14,3,4,0,2,0,None,1,0,1,0,90
V_001,Bari,HH_V_001_017,SRV_006,2025-01-15,3,1,2,12,3,4,0,2,0,None,1,0,3,0,79
V_001,Bari,HH_V_001_018,SRV_006,2025-01-15,4,3,1,14,3,4,0,2,0,None,1,0,2,0,88
V_001,Bari,HH_V_001_019,SRV_004,2025-01-15,3,1,2,10,2,4,0,2,1,Primary,1,0,4,1,65
V_001,Bari,HH_V_001_020,SRV_006,2025-01-15,1,0,1,15,3,4,0,2,0,None,0,0,1,0,95
V_001,Bari,HH_V_001_021,SRV_005,2025-01-15,2,1,1,12,3,4,0,2,0,None,1,0,3,0,78
V_001,Bari,HH_V_001_022,SRV_008,2025-01-15,0,0,0,13,3,4,0,2,0,None,0,0,2,0,84
V_001,Bari,HH_V_001_023,SRV_002,2025-01-15,0,0,0,14,3,4,0,2,0,None,0,0,1,0,90
V_001,Bari,HH_V_001_024,SRV_003,2025-01-15,3,1,2,14,3,4,0,2,0,None,1,0,1,0,90
V_001,Bari,HH_V_001_025,SRV_006,2025-01-15,0,0,0,14,3,4,0,2,0,None,0,0,1,0,92
V_001,Bari,HH_V_001_026,SRV_003,2025-01-15,2,1,1,10,2,4,0,2,1,Primary,1,0,4,1,62
V_001,Bari,HH_V_001_027,SRV_001,2025-01-15,0,0,0,10,2,4,0,2,1,Primary,0,0,4,1,62
V_001,Bari,HH_V_001_028,SRV_006,2025-01-15,4,2,2,12,3,4,0,2,0,None,1,0,3,0,76
V_001,Bari,HH_V_001_029,SRV_002,2025-01-15,2,0,2,13,3,4,0,2,0,None,0,0,2,0,82
V_001,Bari,HH_V_001_030,SRV_007,2025-01-15,2,1,1,12,3,4,0,2,0,None,1,0,3,0,78
V_001,Bari,HH_V_001_031,SRV_003,2025-01-15,0,0,0,8,2,4,0,2,1,Primary,0,0,5,1,52
V_001,Bari,HH_V_001_032,SRV_006,2025-01-15,2,0,2,13,3,4,0,2,0,None,0,0,2,0,85
V_001,Bari,HH_V_001_033,SRV_008,2025-01-15,2,0,2,15,3,4,0,2,0,None,0,0,1,0,99
V_001,Bari,HH_V_001_034,SRV_008,2025-01-15,2,1,1,7,1,4,1,2,2,Secondary,1,0,6,1,41
V_001,Bari,HH_V_001_035,SRV_003,2025-01-15,4,1,3,14,3,4,0,2,0,None,1,0,1,0,91
V_001,Bari,HH_V_001_036,SRV_009,2025-01-15,1,0,1,9,2,4,0,2,1,Primary,0,0,5,1,53
V_001,Bari,HH_V_001_037,SRV_006,2025-01-15,2,1,1,11,2,4,0,2,1,Primary,1,0,3,0,71
V_001,Bari,HH_V_001_038,SRV_006,2025-01-15,0,0,0,10,2,4,0,2,1,Primary,0,0,4,1,62
V_001,Bari,HH_V_001_039,SRV_004,2025-01-15,2,1,1,15,3,4,0,2,0,None,1,0,1,0,98
V_001,Bari,HH_V_001_040,SRV_003,2025-01-15,0,0,0,14,3,4,0,2,0,None,0,0,2,0,86
V_001,Bari,HH_V_001_041,SRV_001,2025-01-15,2,1,1,16,4,4,0,2,0,None,1,0,1,0,100
V_001,Bari,HH_V_001_042,SRV_004,2025-01-15,3,1,2,11,2,4,0,2,1,Primary,1,0,4,1,67
V_001,Bari,HH_V_001_043,SRV_001,2025-01-15,4,3,1,15,3,4,0,2,0,None,1,0,1,0,97
V_001,Bari,HH_V_001_044,SRV_004,2025-01-15,4,1,3,16,4,4,0,2,0,None,1,0,1,0,100
