village_id,village_name,household_id,surveyor_id,survey_date,monthly_income,meals_per_day,food_source_type,food_insecure_months_per_year,child_malnutrition_yn,household_size,ration_card_yn,clean_water_access_yn,crop_failure_last_3yr,food_aid_receipt_yn,pds_access_yn,caloric_intake_score,vulnerability_label
V_001,Bari,HH_V_001_000,SRV_009,2025-01-15,9676,2,Self-grown,5,1,5,0,0,0,0,1,20,79
V_001,Bari,HH_V_001_001,SRV_003,2025-01-15,4173,2,PDS/Ration,6,1,6,1,0,0,1,0,9,90
V_001,Bari,HH_V_001_002,SRV_002,2025-01-15,13454,2,Self-grown,5,1,5,1,1,0,0,1,37,62
V_001,Bari,HH_V_001_003,SRV_003,2025-01-15,12890,2,Self-grown,3,1,5,1,1,3,0,1,39,60
V_001,Bari,HH_V_001_004,SRV_008,2025-01-15,11659,2,Self-grown,4,1,5,0,1,2,0,1,31,68
V_001,Bari,HH_V_001_005,SRV_004,2025-01-15,4345,1,PDS/Ration,6,0,4,0,0,3,1,1,12,87
V_001,Bari,HH_V_001_006,SRV_003,2025-01-15,2352,2,PDS/Ration,7,1,4,1,0,0,1,0,0,100
V_001,Bari,HH_V_001_007,SRV_005,2025-01-15,12937,2,Self-grown,5,0,5,0,1,0,0,1,31,68
V_001,Bari,HH_V_001_008,SRV_001,2025-01-15,7978,2,Self-grown,4,1,4,1,0,0,0,1,21,78
V_001,Bari,HH_V_001_009,SRV_009,2025-01-15,4013,1,Self-grown,5,1,5,0,0,1,1,0,9,90
V_001,Bari,HH_V_001_010,SRV_008,2025-01-15,1420,1,PDS/Ration,8,1,5,0,0,3,1,0,0,100
V_001,Bari,HH_V_001_011,SRV_008,2025-01-15,9723,2,Self-grown,6,1,6,1,0,2,0,1,27,72
V_001,Bari,HH_V_001_012,SRV_009,2025-01-15,12762,2,Self-grown,3,1,6,1,1,3,0,1,35,64
V_001,Bari,HH_V_001_013,SRV_006,2025-01-15,5798,1,Self-grown,7,0,5,1,0,0,1,1,16,83
V_001,Bari,HH_V_001_014,SRV_007,2025-01-15,5142,2,PDS/Ration,6,1,4,1,0,0,1,1,10,89
V_001,Bari,HH_V_001_015,SRV_007,2025-01-15,3991,2,Self-grown,5,1,5,0,0,3,1,0,3,96
V_001,Bari,HH_V_001_016,SRV_005,2025-01-15,3390,1,Self-grown,5,1,4,1,0,2,1,0,9,90
V_001,Bari,HH_V_001_017,SRV_006,2025-01-15,8051,2,Self-grown,6,1,5,0,0,0,0,1,20,79
V_001,Bari,HH_V_001_018,SRV_006,2025-01-15,6152,2,Self-grown,6,1,4,0,0,2,1,1,11,88
V_001,Bari,HH_V_001_019,SRV_004,2025-01-15,12361,2,PDS/Ration,4,1,6,1,1,1,0,1,34,65
V_001,Bari,HH_V_001_020,SRV_006,2025-01-15,2697,2,PDS/Ration,6,1,6,1,0,0,1,0,4,95
V_001,Bari,HH_V_001_021,SRV_005,2025-01-15,6531,2,PDS/Ration,5,1,6,1,0,0,0,1,21,78
V_001,Bari,HH_V_001_022,SRV_008,2025-01-15,6842,2,Self-grown,7,1,4,1,0,3,1,1,15,84
V_001,Bari,HH_V_001_023,SRV_002,2025-01-15,4946,1,Self-grown,5,1,4,1,0,2,1,0,9,90
V_001,Bari,HH_V_001_024,SRV_003,2025-01-15,5727,1,PDS/Ration,6,1,6,1,0,3,1,0,9,90
V_001,Bari,HH_V_001_025,SRV_006,2025-01-15,4451,1,Self-grown,5,1,7,1,0,3,1,0,7,92
V_001,Bari,HH_V_001_026,SRV_003,2025-01-15,13875,2,Self-grown,3,1,6,1,1,2,0,1,37,62
V_001,Bari,HH_V_001_027,SRV_001,2025-01-15,13493,2,PDS/Ration,5,1,5,1,1,0,0,1,37,62
V_001,Bari,HH_V_001_028,SRV_006,2025-01-15,8515,2,Self-grown,6,0,5,1,0,1,0,1,23,76
V_001,Bari,HH_V_001_029,SRV_002,2025-01-15,8884,1,Self-grown,5,1,5,1,0,2,1,1,17,82
V_001,Bari,HH_V_001_030,SRV_007,2025-01-15,8513,2,PDS/Ration,5,1,6,1,0,3,0,1,21,78
V_001,Bari,HH_V_001_031,SRV_003,2025-01-15,15420,2,PDS/Ration,4,0,4,1,1,2,0,1,47,52
V_001,Bari,HH_V_001_032,SRV_006,2025-01-15,5209,2,Self-grown,5,1,6,1,0,0,1,1,14,85
V_001,Bari,HH_V_001_033,SRV_008,2025-01-15,1416,2,PDS/Ration,6,1,5,1,0,2,1,0,0,99
V_001,Bari,HH_V_001_034,SRV_008,2025-01-15,20497,2,Market,2,0,5,1,1,0,0,1,58,41
V_001,Bari,HH_V_001_035,SRV_003,2025-01-15,3680,2,Self-grown,6,1,3,1,0,0,1,0,8,91
V_001,Bari,HH_V_001_036,SRV_009,2025-01-15,14327,2,PDS/Ration,3,0,3,1,1,0,0,1,46,53
V_001,Bari,HH_V_001_037,SRV_006,2025-01-15,10687,2,PDS/Ration,4,0,4,1,0,0,0,1,28,71
V_001,Bari,HH_V_001_038,SRV_006,2025-01-15,11938,2,Self-grown,4,1,3,1,1,2,0,1,37,62
V_001,Bari,HH_V_001_039,SRV_004,2025-01-15,1833,2,PDS/Ration,6,1,6,1,0,0,1,0,1,98
V_001,Bari,HH_V_001_040,SRV_003,2025-01-15,4333,1,Self-grown,7,1,5,1,0,3,1,1,13,86
V_001,Bari,HH_V_001_041,SRV_001,2025-01-15,2441,1,PDS/Ration,8,1,5,0,0,0,1,0,0,100
V_001,Bari,HH_V_001_042,SRV_004,2025-01-15,11863,2,PDS/Ration,4,0,5,0,1,2,0,1,32,67
V_001,Bari,HH_V_001_043,SRV_001,2025-01-15,4898,1,Self-grown,5,1,7,0,0,0,1,0,2,97
V_001,Bari,HH_V_001_044,SRV_004,2025-01-15,2837,2,PDS/Ration,8,1,5,1,0,1,1,0,0,100
V_001,Bari,HH_V_001_045,SRV_007,2025-01-15,17317,2,Market,2,0,5,0,1,0,0,1,50,49
V_001,Bari,HH_V_001_046,SRV_007,2025-01-15,8157,2,PDS/Ration,6,1,5,1,0,3,0,1,25,74
V_001,Bari,HH_V_001_047,SRV_001,2025-01-15,6465,1,Self-grown,7,0,7,1,0,3,1,1,10,89
V_001,Bari,HH_V_001_048,SRV_009,2025-01-15,5491,2,Self-grown,5,1,6,1,0,0,1,1,12,87
V_001,Bari,HH_V_001_049,SRV_006,2025-01-15,8828,2,Self-grown,4,0,6,1,0,3,0,1,26,73
V_001,Bari,HH_V_001_050,SRV_001,2025-01-15,10482,2,PDS/Ration,6,1,4,1,0,3,0,1,29,70
V_001,Bari,HH_V_001_051,SRV_001,2025-01-15,2497,1,PDS/Ration,8,1,6,1,0,1,1,0,0,100
V_001,Bari,HH_V_001_052,SRV_007,2025-01-15,6651,2,PDS/Ration,4,1,5,1,0,3,0,1,22,77
V_001,Bari,HH_V_001_053,SRV_002,2025-01-15,14255,2,PDS/Ration,3,1,5,1,1,1,0,1,35,64
V_001,Bari,HH_V_001_054,SRV_006,2025-01-15,11141,2,Self-grown,4,1,4,1,0,1,0,1,27,72
V_001,Bari,HH_V_001_055,SRV_001,2025-01-15,6104,2,PDS/Ration,7,1,5,1,0,0,1,1,14,85
V_001,Bari,HH_V_001_056,SRV_006,2025-01-15,9896,2,PDS/Ration,5,1,5,1,0,1,0,1,23,76
V_001,Bari,HH_V_001_057,SRV_004,2025-01-15,7243,2,PDS/Ration,6,0,3,1,0,2,0,1,23,76
V_001,Bari,HH_V_001_058,SRV_001,2025-01-15,4316,2,Self-grown,7,1,6,1,0,2,1,0,8,91
V_001,Bari,HH_V_001_059,SRV_001,2025-01-15,8397,2,PDS/Ration,6,1,5,1,0,2,1,1,19,80
V_001,Bari,HH_V_001_060,SRV_002,2025-01-15,12029,2,Self-grown,5,1,4,1,1,1,0,1,34,65
V_001,Bari,HH_V_001_061,SRV_007,2025-01-15,19072,2,Market,2,0,5,1,1,0,0,1,53,46
V_001,Bari,HH_V_001_062,SRV_004,2025-01-15,13828,2,Self-grown,4,1,4,1,1,1,0,1,38,61
V_001,Bari,HH_V_001_063,SRV_003,2025-01-15,6468,2,Self-grown,5,1,6,1,0,1,0,1,22,77
V_001,Bari,HH_V_001_064,SRV_008,2025-01-15,6249,2,Self-grown,5,0,6,1,0,3,1,1,10,89
V_001,Bari,HH_V_001_065,SRV_002,2025-01-15,10685,2,PDS/Ration,5,0,5,0,1,1,0,1,32,67
V_001,Bari,HH_V_001_066,SRV_008,2025-01-15,12239,2,PDS/Ration,4,1,5,1,1,3,0,1,33,66
V_001,Bari,HH_V_001_067,SRV_008,2025-01-15,3698,1,PDS/Ration,7,1,6,1,0,1,1,0,4,95
V_001,Bari,HH_V_001_068,SRV_005,2025-01-15,4222,2,Self-grown,6,1,5,1,0,1,1,1,10,89
V_001,Bari,HH_V_001_069,SRV_009,2025-01-15,6633,2,Self-grown,5,1,4,1,0,2,0,1,21,78
V_001,Bari,HH_V_001_070,SRV_003,2025-01-15,670,2,PDS/Ration,8,1,5,1,0,0,1,0,0,100
V_001,Bari,HH_V_001_071,SRV_001,2025-01-15,7316,2,PDS/Ration,4,1,6,0,0,1,0,1,23,76
V_001,Bari,HH_V_001_072,SRV_001,2025-01-15,500,2,Self-grown,6,1,6,1,0,1,1,0,0,99
V_001,Bari,HH_V_001_073,SRV_006,2025-01-15,10566,2,Self-grown,6,1,4,1,0,1,0,1,28,71
V_001,Bari,HH_V_001_074,SRV_005,2025-01-15,8952,2,Self-grown,6,1,4,1,0,3,0,1,23,76
V_001,Bari,HH_V_001_075,SRV_001,2025-01-15,9075,2,PDS/Ration,6,1,2,1,0,0,0,1,28,71
V_001,Bari,HH_V_001_076,SRV_009,2025-01-15,7565,1,PDS/Ration,6,1,6,1,0,3,1,1,17,82
V_001,Bari,HH_V_001_077,SRV_006,2025-01-15,14382,2,Self-grown,4,0,6,0,1,1,0,1,43,56
V_001,Bari,HH_V_001_078,SRV_004,2025-01-15,6892,1,PDS/Ration,6,1,5,1,0,1,1,1,15,84
V_001,Bari,HH_V_001_079,SRV_006,2025-01-15,9023,2,Self-grown,5,1,5,1,0,1,0,1,23,76
